user_id,age,count,activity,bot_score_english
13616,4256,23279,5.46968985,0.020440801
614513,4124,525,0.127303589,0.073132946
5565,4313,8146,1.888708556,0.041324617
19783,4226,3510,0.830572646,0.01431107
2631,4351,8146,1.872213284,0.058339997
2798,4347,23279,5.355187486,0.020440801
953,4370,1178,0.269565217,0.101853892
661753,4123,20287,4.920446277,0.126201693
769463,4121,8146,1.976704683,0.171898658
10762,4264,5086,1.192776735,0.03273843
12075,4261,7557,1.773527341,0.101853892
666683,4123,1044,0.253213679,0.03273843
7522,4287,23279,5.430137625,0.036791369
224393,4133,3818,0.923784176,0.007869419
62033,4148,16202,3.905978785,0.101853892
527293,4127,20625,4.997576932,0.073132946
28613,4208,7842,1.863593156,0.091313128
5908922,4031,5647,1.400893079,0.00236173
5602242,4046,10106,2.497775581,0.020440801
5423032,4055,22780,5.617755857,0.023007536
5875472,4032,2261,0.560763889,0.018155092
5880852,4032,22692,5.62797619,0.918181007
5864532,4032,7393,1.833581349,0.018155092
5712702,4040,14075,3.483910891,0.171898658
5926412,4030,94,0.023325062,0.025888056
5363992,4058,6772,1.668802366,0.023007536
14157231,4010,3986,0.994014963,0.20909234
14255481,4010,1158,0.288778055,0.35321667
14860801,4009,379129,94.5694687,0.052041514
14477121,4010,1612,0.401995012,0.046389527
14543181,4010,15370,3.832917706,0.381303996
14710351,4009,20161,5.028934896,0.724507962
14588591,4010,21279,5.306483791,0.01431107
15300031,4009,1415,0.352955849,0.029118466
15394191,4009,19436,4.848091793,0.300114039
15404401,4009,145684,36.33923672,0.20909234
15183411,4009,23153,5.775255675,0.025888056
15031171,4009,17,0.004240459,0.08176391
15377431,4009,57547,14.35445248,0.018155092
15581091,4008,13089,3.265718563,0.012701904
15431511,4009,41940,10.46146171,0.126201693
15552791,4008,7255,1.810129741,0.126201693
15535341,4008,10,0.00249501,0.046389527
15449391,4009,43630,10.88301322,0.101853892
15694961,4008,3701,0.923403194,0.155362948
15691761,4008,958,0.239021956,0.041324617
15675091,4008,74719,18.64246507,0.941619697
16045561,4008,11845,2.955339321,0.025888056
